"filename", "language", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Dart", "C++", "Properties", "Swift", "XML", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\flutter_projects\main\youtube-flutter-clone\android\settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\americanexpress-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\arrow-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\arrow-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\bell.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\big-star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\camera.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\chrome.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\cirrus-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\compass.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\discover-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\eye_on.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\favorite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\folder-plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle-big.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home-black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\maestro-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mastercard-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-vertical.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\paypal-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2 (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\shield.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\small-close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\smartphone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star (3).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star_2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\star_full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\trash-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\visa-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap-off.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\zap.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\flutter_projects\main\youtube-flutter-clone\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\routes\route_app.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 6, 30
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\themes\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 10, 150
"d:\flutter_projects\main\youtube-flutter-clone\lib\config\themes\theme_service.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\api_result.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\api_result.freezed.dart", "Dart", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 18, 47, 355
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\error_model.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\error_model.g.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 5, 19
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exceptions.dart", "Dart", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 24, 172
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\network_exceptions.freezed.dart", "Dart", 0, 0, 0, 0, 0, 3519, 0, 0, 0, 0, 66, 277, 3862
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\date_reformat.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\views_reformat.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\toast_show.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\my_app.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\assets_manager.dart", "Dart", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 21, 112
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\color_manager.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 19, 96
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\font_manager.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 11, 45
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 1, 42, 184
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\resources\values_manager.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\app_lang.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\langs\ar.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 1, 136
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\langs\en.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 1, 2, 143
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\local_storage\local_storage.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\translations\translations.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\use_case\use_case.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\constants.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\utility\injector.dart", "Dart", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 9, 41, 225
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\widgets\sliver_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_apis.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 6, 44
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 5, 11, 119
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_playlist\channel_playlist_apis.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_playlist\channel_playlist_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 5, 10, 94
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_videos\channel_videos_apis.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\channel\channel_videos\channel_videos_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 5, 10, 98
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\search\search_apis.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\search\search_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 5, 10, 94
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\commet\comment_apis.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 6, 39
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\commet\comment_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 5, 12, 152
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\single_video_apis.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 7, 5, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\single_video\single_video_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 5, 10, 94
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 6, 36
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 5, 12, 134
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 22, 98
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.g.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 4, 10, 85
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\my_subscriptions_details.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 14, 61
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\playlists\playlist_videos.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 14, 70
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\playlists\playlist_videos.g.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 7, 62
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\playlists\playlists.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 11, 39
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\playlists\playlists.g.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 6, 37
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\subscribe_request_body.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_body\comment_body.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 10, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_body\comment_body.g.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 7, 32
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_details.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 13, 58
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\comment_details.g.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 7, 50
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\comment_details\common\comment_snippet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\author_channel_id.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\author_channel_id.g.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\sub_comment_snippet.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_comment_snippet\sub_comment_snippet.g.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 4, 27
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_snippet\base_snippet.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\base_snippet\base_snippet.g.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 4, 21
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\page_info\page_info.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\page_info\page_info.g.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\max_thumbnail_details.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\max_thumbnail_details.g.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 4, 28
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\thumbnail_details.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\thumbnail_details\thumbnail_details.g.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 4, 15
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\videos_ids\videos_ids.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 11, 40
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\common\videos_ids\videos_ids.g.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 6, 34
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\reply_details\reply_details.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 15, 52
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\reply_details\reply_details.g.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 7, 42
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\videos_details.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 21, 124
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\videos_details.g.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 9, 70
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel\channel_details_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 7, 79
